year,annual_mean_temp_c,annual_precip_mm,breeding_mean_temp_c,breeding_precip_mm,temperature_anomaly_c,breeding_temperature_anomaly_c
1980,10.66485345255837,662.9454545454545,14.963189269746646,211.9,-1.4812585636286535,-1.785238450074516
1981,11.335591531755917,665.290909090909,15.70715350223547,215.5090909090909,-0.8105204844311071,-1.041274217585693
1982,11.598879202988792,573.4636363636363,15.895603576751116,186.5818181818182,-0.5472328131982316,-0.8528241430700465
1983,11.776413449564133,577.1818181818181,16.378092399403872,198.8090909090909,-0.36969856662289047,-0.3703353204172899
1984,11.263263785394933,660.4727272727273,15.356706408345753,212.85454545454547,-0.8828482307920904,-1.3917213114754095
1985,10.68906600249066,617.1636363636363,15.86311475409836,206.41818181818186,-1.4570460136963632,-0.885312965722802
1986,11.11247820672478,620.9636363636364,16.150298062593144,199.0090909090909,-1.033633809462243,-0.5981296572280179
1987,10.80505603985056,652.5727272727273,15.595007451564829,212.45454545454547,-1.3410559763364631,-1.1534202682563333
1988,11.625260804769,626.1545454545454,16.24552906110283,205.0090909090909,-0.520851211418023,-0.5028986587183333
1989,12.270236612702366,590.6727272727272,16.376900149031297,198.03636363636363,0.12412459651534213,-0.37152757078986554
1990,12.236488169364883,562.2181818181817,16.293591654247393,181.62727272727273,0.09037615317785885,-0.4548360655737689
1991,11.252478206724781,600.8363636363637,15.299925484351716,220.26363636363638,-0.8936338094622425,-1.4485022354694461
1992,11.737406855439643,533.9181818181819,16.145901639344263,184.98181818181817,-0.40870516074738106,-0.602526080476899
1993,11.254371108343712,595.4818181818182,16.11028315946349,203.25454545454548,-0.8917409078433121,-0.6381445603576736
1994,12.192229140722292,574.3727272727273,16.518032786885247,190.15454545454543,0.04611712453526806,-0.23039493293591562
1995,11.945130759651308,598.3272727272728,16.494485842026823,176.71818181818182,-0.20098125653571586,-0.25394187779433963
1996,11.0123695976155,702.5545454545454,16.025409836065577,209.62727272727273,-1.133742418571524,-0.7230178837555847
1997,11.854869240348693,669.3727272727273,15.917660208643815,249.3090909090909,-0.2912427758383309,-0.8307675111773474
1998,11.80002490660025,641.6636363636363,16.356110283159463,224.97272727272727,-0.34608710958677413,-0.39231743666169905
1999,12.202291407222914,632.5454545454545,17.000596125186288,200.37272727272727,0.05617939103589009,0.25216840536512564
2000,12.403825136612022,602.7545454545455,16.73397913561848,208.3272727272727,0.2577131204249987,-0.014448584202682468
2001,12.016861768368619,606.7454545454545,16.566840536512668,191.70909090909092,-0.12925024781840477,-0.1815871833084941
2002,12.188891656288916,684.5818181818181,16.846795827123696,211.20909090909092,0.042779640101892724,0.09836810730253376
2003,12.095790784557908,569.1636363636363,17.29612518628912,174.29999999999998,-0.05032123162911617,0.5476974664679588
2004,11.854098360655739,608.8272727272728,16.090611028315944,207.5818181818182,-0.2920136555312851,-0.6578166915052179
2005,11.854047322540474,612.6090909090909,16.774143070044712,189.17272727272723,-0.29206469364654986,0.02571535022354965
2006,12.245180572851806,590.2272727272727,17.280774962742175,157.64545454545453,0.09906855666478265,0.5323472429210128
2007,12.486550435865503,578.5636363636363,17.234724292101344,198.1090909090909,0.3404384196784793,0.48629657228018175
2008,12.421385991058122,628.3000000000001,16.830402384500744,202.36363636363637,0.27527397487109795,0.08197466467958137
2009,12.241967621419677,634.0545454545455,16.988002980625932,215.54545454545453,0.09585560523265357,0.2395752608047701
2010,11.481643835616438,711.1999999999999,17.074441132637855,224.78181818181818,-0.6644681805705854,0.3260134128166925
2011,12.400747198007473,567.6090909090909,17.19806259314456,204.95454545454547,0.25463518182044886,0.44963487332339724
2012,12.064580228514656,660.4,16.859239940387482,241.8272727272727,-0.08153178767236824,0.11081222056632001
2013,12.0960398505604,627.209090909091,16.805290611028315,187.8272727272727,-0.050072165626623644,0.056862891207153154
2014,12.7440099626401,731.3909090909091,16.87295081967213,244.03636363636363,0.5978979464530756,0.12452309985096832
2015,12.777758405977584,562.8181818181819,16.95812220566319,173.11818181818182,0.6316463897905606,0.20969448584202866
2016,12.429682066567313,628.9454545454545,17.063710879284653,236.47272727272727,0.2835700503802894,0.3152831594634904
2017,12.485927770859279,604.2818181818182,17.02608047690015,182.46363636363637,0.3398157546722551,0.2776527570789895
2018,12.819427148194272,622.709090909091,18.100074515648284,182.2,0.6733151320072484,1.351646795827122
2019,12.919153175591532,637.290909090909,17.06348733233979,205.6181818181818,0.7730411594045083,0.3150596125186276
2020,13.10461997019374,657.6727272727272,16.920566318926976,209.76363636363638,0.9585079540067163,0.1721385991058142
2021,12.261693648816937,638.0909090909091,16.828241430700448,203.1909090909091,0.1155816326299135,0.07981371087928579
2022,13.05980074719801,589.8000000000001,17.506035767511175,176.48181818181817,0.9136887310109856,0.7576080476900131
2023,13.25148194271482,678.6727272727272,17.229806259314454,208.0181818181818,1.1053699265277963,0.4813785394932921
2024,13.569349230004967,663.9090909090909,18.062220566318924,189.27272727272728,1.4232372138179432,1.313792846497762
