year,observation_records,occupied_cells,centroid_latitude,centroid_longitude,median_latitude,north_edge_latitude,scientific_name,polish_name
1980,319,117,48.60683760683761,10.709401709401709,48.0,61.0,Ciconia ciconia,Bocian biały
1981,301,110,49.36363636363637,10.727272727272728,50.5,62.55,Ciconia ciconia,Bocian biały
1982,249,100,48.25,9.94,47.5,59.05,Ciconia ciconia,Bocian biały
1983,305,120,47.38333333333333,11.691666666666666,46.5,59.0,Ciconia ciconia,Bocian biały
1984,281,124,46.13709677419355,8.814516129032258,46.0,58.0,Ciconia ciconia,Bocian biały
1985,292,124,46.193548387096776,12.064516129032258,45.5,57.0,Ciconia ciconia,Bocian biały
1986,321,145,45.72413793103448,13.63448275862069,46.0,57.0,Ciconia ciconia,Bocian biały
1987,342,130,46.20769230769231,14.4,46.0,56.55,Ciconia ciconia,Bocian biały
1988,601,165,46.47878787878788,13.587878787878788,47.0,58.0,Ciconia ciconia,Bocian biały
1989,617,174,46.89655172413793,12.994252873563218,47.0,59.0,Ciconia ciconia,Bocian biały
1990,805,183,48.4207650273224,12.01639344262295,49.0,60.900000000000006,Ciconia ciconia,Bocian biały
1991,831,184,46.56521739130435,13.190217391304348,46.5,57.0,Ciconia ciconia,Bocian biały
1992,929,181,46.85635359116022,11.226519337016574,47.0,58.0,Ciconia ciconia,Bocian biały
1993,940,216,47.05092592592592,12.50462962962963,47.0,59.0,Ciconia ciconia,Bocian biały
1994,1039,189,47.17989417989418,10.788359788359788,47.0,59.0,Ciconia ciconia,Bocian biały
1995,1207,235,47.791489361702126,11.08936170212766,48.0,58.29999999999998,Ciconia ciconia,Bocian biały
1996,1420,243,47.20987654320987,10.08641975308642,48.0,58.0,Ciconia ciconia,Bocian biały
1997,1665,213,47.394366197183096,11.450704225352112,48.0,59.0,Ciconia ciconia,Bocian biały
1998,1984,251,48.01593625498008,10.95219123505976,49.0,58.0,Ciconia ciconia,Bocian biały
1999,2398,250,47.224,10.288,47.0,58.0,Ciconia ciconia,Bocian biały
2000,2481,273,46.95970695970696,11.706959706959706,47.0,58.0,Ciconia ciconia,Bocian biały
2001,3191,308,46.51948051948052,12.733766233766234,47.0,58.0,Ciconia ciconia,Bocian biały
2002,3614,301,47.27906976744186,11.129568106312291,48.0,58.0,Ciconia ciconia,Bocian biały
2003,3729,320,47.5625,11.090625,48.0,59.0,Ciconia ciconia,Bocian biały
2004,5096,357,47.26050420168068,13.784313725490197,47.0,59.0,Ciconia ciconia,Bocian biały
2005,4773,375,46.49066666666667,14.501333333333331,46.0,58.0,Ciconia ciconia,Bocian biały
2006,5095,362,47.350828729281766,14.395027624309392,48.0,58.0,Ciconia ciconia,Bocian biały
