scientific_name,birdlife_id,cell_id,atlas_code,atlas_name,period_label,period_start_year,period_end_year,reference_year,source,source_url
Ciconia ciconia,22697691,29SMC3,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SMD4,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNA3,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNB1,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNB2,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNB3,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNB4,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNC1,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNC2,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNC3,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNC4,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SND1,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SND2,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SND3,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SND4,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNE2,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
Ciconia ciconia,22697691,29SNE4,ebba1,EBBA1,EBBA1 (lata 80.),1980,1989,1985,European Breeding Bird Atlas official occurrence map,https://ebba2.info/maps/species/Ciconia-ciconia/ebba1/occurrence/
