scientific_name,cell_id,center_latitude,center_longitude,south_latitude,north_latitude,west_longitude,east_longitude,source
Ciconia ciconia,ciconia_ciconia_0001,36.00,-9.00,35.75,36.25,-9.375,-8.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0002,36.00,-8.25,35.75,36.25,-8.625,-7.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0003,36.00,-7.50,35.75,36.25,-7.875,-7.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0004,36.00,-6.75,35.75,36.25,-7.125,-6.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0005,36.00,-6.00,35.75,36.25,-6.375,-5.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0006,36.00,-5.25,35.75,36.25,-5.625,-4.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0007,36.00,-4.50,35.75,36.25,-4.875,-4.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0008,36.00,-3.75,35.75,36.25,-4.125,-3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0009,36.00,-3.00,35.75,36.25,-3.375,-2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0010,36.00,-2.25,35.75,36.25,-2.625,-1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0011,36.00,-1.50,35.75,36.25,-1.875,-1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0012,36.00,-0.75,35.75,36.25,-1.125,-0.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0013,36.00,0.00,35.75,36.25,-0.375,0.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0014,36.00,0.75,35.75,36.25,0.375,1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0015,36.00,1.50,35.75,36.25,1.125,1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0016,36.00,2.25,35.75,36.25,1.875,2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0017,36.00,3.00,35.75,36.25,2.625,3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0018,36.00,26.25,35.75,36.25,25.875,26.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0019,36.00,27.00,35.75,36.25,26.625,27.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0020,36.00,27.75,35.75,36.25,27.375,28.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0021,36.00,28.50,35.75,36.25,28.125,28.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0022,36.00,29.25,35.75,36.25,28.875,29.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0023,36.00,30.00,35.75,36.25,29.625,30.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0024,36.00,30.75,35.75,36.25,30.375,31.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0025,36.00,31.50,35.75,36.25,31.125,31.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0026,36.00,32.25,35.75,36.25,31.875,32.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0027,36.00,33.00,35.75,36.25,32.625,33.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0028,36.00,33.75,35.75,36.25,33.375,34.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0029,36.00,34.50,35.75,36.25,34.125,34.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0030,36.00,35.25,35.75,36.25,34.875,35.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
